epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1101.18,0.59938,0.46501,0.84356,0.99044,1,0.995,0.7993,0.6946,0.45215,0.837,0.000367967,0.000367967,0.000367967
77,1115.87,0.62375,0.51274,0.86703,0.99155,1,0.995,0.80235,0.68717,0.45191,0.83655,0.00035382,0.00035382,0.00035382
78,1130.18,0.59579,0.4628,0.83854,0.99072,1,0.995,0.79766,0.70884,0.46114,0.84674,0.000339673,0.000339673,0.000339673
79,1144.03,0.58024,0.45488,0.84318,0.99092,1,0.995,0.80621,0.70459,0.4551,0.84609,0.000325526,0.000325526,0.000325526
80,1158.04,0.59447,0.4712,0.83788,0.99157,1,0.995,0.80695,0.68568,0.44374,0.8349,0.000311379,0.000311379,0.000311379
81,1172.05,0.65741,0.4733,0.86398,0.99172,1,0.995,0.81469,0.67386,0.43926,0.82918,0.000297232,0.000297232,0.000297232
82,1186.02,0.58494,0.45315,0.84184,0.99211,1,0.995,0.80916,0.65818,0.44895,0.83112,0.000283085,0.000283085,0.000283085
83,1199.98,0.60461,0.46155,0.84038,0.99248,1,0.995,0.80106,0.68768,0.45087,0.84084,0.000268938,0.000268938,0.000268938
84,1213.97,0.57971,0.45796,0.84815,0.99144,1,0.995,0.79092,0.72216,0.45741,0.85206,0.000254791,0.000254791,0.000254791
85,1227.9,0.56338,0.45402,0.84037,0.9911,1,0.995,0.79209,0.72997,0.45503,0.85428,0.000240644,0.000240644,0.000240644
86,1241.84,0.57664,0.46244,0.8355,0.99067,1,0.995,0.79561,0.7182,0.45395,0.85183,0.000226497,0.000226497,0.000226497
87,1255.79,0.59173,0.45813,0.85391,0.99087,1,0.995,0.80128,0.70683,0.45568,0.84696,0.000212349,0.000212349,0.000212349
88,1271.58,0.5834,0.45918,0.83791,0.99067,1,0.995,0.8039,0.70391,0.44432,0.84403,0.000198202,0.000198202,0.000198202
89,1286.85,0.55761,0.43808,0.82948,0.99049,1,0.995,0.80315,0.7023,0.44466,0.84342,0.000184055,0.000184055,0.000184055
90,1301.32,0.54833,0.4372,0.82856,0.98991,1,0.995,0.80022,0.69588,0.44723,0.84332,0.000169908,0.000169908,0.000169908
91,1315.73,0.54736,0.44939,0.83364,0.98955,1,0.995,0.80558,0.69423,0.45175,0.84422,0.000155761,0.000155761,0.000155761
92,1330.12,0.51386,0.44572,0.82393,0.9889,1,0.995,0.80977,0.72818,0.46303,0.85342,0.000141614,0.000141614,0.000141614
93,1344.34,0.53642,0.44629,0.82405,0.98756,1,0.995,0.80399,0.73457,0.46855,0.85477,0.000127467,0.000127467,0.000127467
94,1358.53,0.55156,0.44966,0.82652,0.98535,1,0.995,0.8008,0.69598,0.47149,0.84426,0.00011332,0.00011332,0.00011332
95,1373.08,0.52619,0.44399,0.81478,0.98425,1,0.995,0.80405,0.68763,0.46919,0.84069,9.91726e-05,9.91726e-05,9.91726e-05
96,1388.03,0.55112,0.45535,0.83296,0.98263,1,0.995,0.80225,0.70794,0.47564,0.84173,8.50255e-05,8.50255e-05,8.50255e-05
97,1403.1,0.51475,0.44214,0.83297,0.9826,1,0.995,0.80247,0.70427,0.47429,0.84055,7.08784e-05,7.08784e-05,7.08784e-05
98,1417.67,0.51131,0.4348,0.83484,0.98432,1,0.995,0.8055,0.68562,0.45877,0.83759,5.67313e-05,5.67313e-05,5.67313e-05
99,1432.2,0.49005,0.43086,0.82177,0.98545,1,0.995,0.8103,0.67779,0.4523,0.8367,4.25842e-05,4.25842e-05,4.25842e-05
100,1447.19,0.49915,0.43325,0.82018,0.98642,1,0.995,0.81051,0.67245,0.44578,0.83709,2.84371e-05,2.84371e-05,2.84371e-05
